x0	i=0	x1	i=1	x2	i=2	
2.062062e-01 	 2.059856e-01 	2.062062e-01 	 2.062120e-01 	2.062062e-01 	 2.061907e-01 	 
2.072072e-01 	 2.069841e-01 	2.072072e-01 	 2.072131e-01 	2.072072e-01 	 2.071915e-01 	 
2.082082e-01 	 2.079827e-01 	2.082082e-01 	 2.082141e-01 	2.082082e-01 	 2.081922e-01 	 
2.092092e-01 	 2.089812e-01 	2.092092e-01 	 2.092152e-01 	2.092092e-01 	 2.091930e-01 	 
2.102102e-01 	 2.099797e-01 	2.102102e-01 	 2.102163e-01 	2.102102e-01 	 2.101938e-01 	 
2.112112e-01 	 2.109782e-01 	2.112112e-01 	 2.112174e-01 	2.112112e-01 	 2.111945e-01 	 
2.122122e-01 	 2.119766e-01 	2.122122e-01 	 2.122185e-01 	2.122122e-01 	 2.121953e-01 	 
2.132132e-01 	 2.129751e-01 	2.132132e-01 	 2.132195e-01 	2.132132e-01 	 2.131960e-01 	 
2.142142e-01 	 2.139735e-01 	2.142142e-01 	 2.142206e-01 	2.142142e-01 	 2.141968e-01 	 
2.152152e-01 	 2.149719e-01 	2.152152e-01 	 2.152217e-01 	2.152152e-01 	 2.151975e-01 	 
2.162162e-01 	 2.159702e-01 	2.162162e-01 	 2.162228e-01 	2.162162e-01 	 2.161982e-01 	 
2.172172e-01 	 2.169686e-01 	2.172172e-01 	 2.172238e-01 	2.172172e-01 	 2.171990e-01 	 
2.182182e-01 	 2.179669e-01 	2.182182e-01 	 2.182249e-01 	2.182182e-01 	 2.181997e-01 	 
2.192192e-01 	 2.189652e-01 	2.192192e-01 	 2.192260e-01 	2.192192e-01 	 2.192004e-01 	 
2.202202e-01 	 2.199635e-01 	2.202202e-01 	 2.202270e-01 	2.202202e-01 	 2.202011e-01 	 
2.212212e-01 	 2.209617e-01 	2.212212e-01 	 2.212281e-01 	2.212212e-01 	 2.212018e-01 	 
2.222222e-01 	 2.219600e-01 	2.222222e-01 	 2.222292e-01 	2.222222e-01 	 2.222025e-01 	 
2.232232e-01 	 2.229582e-01 	2.232232e-01 	 2.232302e-01 	2.232232e-01 	 2.232032e-01 	 
2.242242e-01 	 2.239564e-01 	2.242242e-01 	 2.242313e-01 	2.242242e-01 	 2.242039e-01 	 
2.252252e-01 	 2.249545e-01 	2.252252e-01 	 2.252324e-01 	2.252252e-01 	 2.252046e-01 	 
2.262262e-01 	 2.259527e-01 	2.262262e-01 	 2.262334e-01 	2.262262e-01 	 2.262053e-01 	 
2.272272e-01 	 2.269508e-01 	2.272272e-01 	 2.272345e-01 	2.272272e-01 	 2.272060e-01 	 
2.282282e-01 	 2.279489e-01 	2.282282e-01 	 2.282356e-01 	2.282282e-01 	 2.282067e-01 	 
2.292292e-01 	 2.289470e-01 	2.292292e-01 	 2.292366e-01 	2.292292e-01 	 2.292074e-01 	 
