x0	G1	x1	G2	x2	G3	x3	G4	
-6.892264e-02 	 -1.283066e-03 	3.614503e-01 	 -1.583972e-03 	1.268144e-01 	 -7.095887e-04 	1.268144e-01 	 -7.532460e-04 	 
-6.353098e-02 	 -1.290569e-03 	3.673437e-01 	 -1.628297e-03 	1.335969e-01 	 -7.148272e-04 	1.335968e-01 	 -7.407667e-04 	 
-5.812890e-02 	 -1.283922e-03 	3.731042e-01 	 -1.671574e-03 	1.403494e-01 	 -7.174411e-04 	1.403493e-01 	 -7.248163e-04 	 
-5.271703e-02 	 -1.274583e-03 	3.787310e-01 	 -1.710989e-03 	1.470701e-01 	 -7.171303e-04 	1.470701e-01 	 -7.241056e-04 	 
-4.729621e-02 	 -1.268997e-03 	3.842227e-01 	 -1.747235e-03 	1.537577e-01 	 -7.185247e-04 	1.537577e-01 	 -7.331547e-04 	 
-4.186723e-02 	 -1.272397e-03 	3.895782e-01 	 -1.779348e-03 	1.604105e-01 	 -7.139526e-04 	1.604104e-01 	 -7.411967e-04 	 
-3.643084e-02 	 -1.278394e-03 	3.947965e-01 	 -1.804103e-03 	1.670269e-01 	 -6.995000e-04 	1.670270e-01 	 -7.518776e-04 	 
-3.098788e-02 	 -1.275782e-03 	3.998770e-01 	 -1.825570e-03 	1.736055e-01 	 -6.908194e-04 	1.736055e-01 	 -7.695369e-04 	 
-2.553910e-02 	 -1.262068e-03 	4.048186e-01 	 -1.850405e-03 	1.801449e-01 	 -6.996710e-04 	1.801449e-01 	 -7.885731e-04 	 
-2.008530e-02 	 -1.238811e-03 	4.096211e-01 	 -1.877176e-03 	1.866432e-01 	 -7.192268e-04 	1.866431e-01 	 -8.054950e-04 	 
-1.462729e-02 	 -1.207933e-03 	4.142839e-01 	 -1.900797e-03 	1.930991e-01 	 -7.399545e-04 	1.930991e-01 	 -8.242777e-04 	 
-9.165849e-03 	 -1.182275e-03 	4.188066e-01 	 -1.918257e-03 	1.995112e-01 	 -7.596515e-04 	1.995112e-01 	 -8.452241e-04 	 
-3.701776e-03 	 -1.181181e-03 	4.231888e-01 	 -1.929119e-03 	2.058781e-01 	 -7.796277e-04 	2.058780e-01 	 -8.613929e-04 	 
1.764124e-03 	 -1.197638e-03 	4.274309e-01 	 -1.936890e-03 	2.121980e-01 	 -7.981649e-04 	2.121980e-01 	 -8.675297e-04 	 
7.231055e-03 	 -1.197255e-03 	4.315324e-01 	 -1.943587e-03 	2.184700e-01 	 -8.110919e-04 	2.184700e-01 	 -8.692459e-04 	 
1.269823e-02 	 -1.167745e-03 	4.354939e-01 	 -1.945761e-03 	2.246924e-01 	 -8.214865e-04 	2.246923e-01 	 -8.791498e-04 	 
1.816483e-02 	 -1.129120e-03 	4.393156e-01 	 -1.942172e-03 	2.308637e-01 	 -8.391847e-04 	2.308637e-01 	 -9.037065e-04 	 
2.363006e-02 	 -1.084844e-03 	4.429979e-01 	 -1.932416e-03 	2.369829e-01 	 -8.666161e-04 	2.369828e-01 	 -9.382165e-04 	 
2.909315e-02 	 -1.023849e-03 	4.465416e-01 	 -1.911366e-03 	2.430482e-01 	 -8.965393e-04 	2.430482e-01 	 -9.742060e-04 	 
3.455325e-02 	 -9.660658e-04 	4.499472e-01 	 -1.879207e-03 	2.490589e-01 	 -9.206054e-04 	2.490589e-01 	 -1.006490e-03 	 
