x0	delta	x1	wle	x2	sle	
2.032080e-01 	 -4.968156e-06 	2.032080e-01 	 2.720225e-04 	2.032080e-01 	 2.769906e-04 	 
2.075986e-01 	 -5.307832e-06 	2.075986e-01 	 2.690154e-04 	2.075986e-01 	 2.743232e-04 	 
2.119631e-01 	 -5.704460e-06 	2.119631e-01 	 2.659466e-04 	2.119631e-01 	 2.716510e-04 	 
2.163010e-01 	 -6.115994e-06 	2.163010e-01 	 2.628241e-04 	2.163010e-01 	 2.689401e-04 	 
2.206117e-01 	 -6.536954e-06 	2.206117e-01 	 2.596651e-04 	2.206117e-01 	 2.662021e-04 	 
2.248946e-01 	 -6.951934e-06 	2.248946e-01 	 2.564893e-04 	2.248946e-01 	 2.634412e-04 	 
2.291492e-01 	 -7.371040e-06 	2.291492e-01 	 2.533002e-04 	2.291492e-01 	 2.606713e-04 	 
2.333750e-01 	 -7.768438e-06 	2.333750e-01 	 2.500886e-04 	2.333750e-01 	 2.578570e-04 	 
2.375715e-01 	 -8.154534e-06 	2.375715e-01 	 2.468569e-04 	2.375715e-01 	 2.550115e-04 	 
2.417381e-01 	 -8.519818e-06 	2.417381e-01 	 2.436193e-04 	2.417381e-01 	 2.521391e-04 	 
2.458743e-01 	 -8.868969e-06 	2.458743e-01 	 2.403754e-04 	2.458743e-01 	 2.492444e-04 	 
2.499797e-01 	 -9.184341e-06 	2.499797e-01 	 2.371381e-04 	2.499797e-01 	 2.463225e-04 	 
2.540537e-01 	 -9.478121e-06 	2.540537e-01 	 2.339224e-04 	2.540537e-01 	 2.434006e-04 	 
2.580957e-01 	 -9.743467e-06 	2.580957e-01 	 2.307097e-04 	2.580957e-01 	 2.404531e-04 	 
2.621055e-01 	 -9.964521e-06 	2.621055e-01 	 2.274730e-04 	2.621055e-01 	 2.374376e-04 	 
2.660825e-01 	 -1.015591e-05 	2.660825e-01 	 2.242326e-04 	2.660825e-01 	 2.343885e-04 	 
2.700261e-01 	 -1.031241e-05 	2.700261e-01 	 2.210242e-04 	2.700261e-01 	 2.313366e-04 	 
2.739361e-01 	 -1.038315e-05 	2.739361e-01 	 2.178522e-04 	2.739361e-01 	 2.282353e-04 	 
2.778119e-01 	 -1.044764e-05 	2.778119e-01 	 2.146917e-04 	2.778119e-01 	 2.251393e-04 	 
2.816530e-01 	 -1.047195e-05 	2.816530e-01 	 2.115529e-04 	2.816530e-01 	 2.220249e-04 	 
2.854590e-01 	 -1.047538e-05 	2.854590e-01 	 2.084231e-04 	2.854590e-01 	 2.188985e-04 	 
2.892296e-01 	 -1.043568e-05 	2.892296e-01 	 2.053124e-04 	2.892296e-01 	 2.157481e-04 	 
