   n        time         Clp         Cdp         Clv         Cdv
 1620760   225.96793   0.6085553   0.0005492   0.0260161   0.0082122
 1620780   225.97058   0.6085442   0.0005491   0.0260098   0.0082121
 1620800   225.97322   0.6085339   0.0005491   0.0260038   0.0082121
 1620820   225.97586   0.6085250   0.0005491   0.0259981   0.0082122
 1620840   225.97851   0.6085183   0.0005491   0.0259929   0.0082123
 1620860   225.98115   0.6085143   0.0005490   0.0259883   0.0082123
 1620880   225.98379   0.6085133   0.0005490   0.0259843   0.0082121
 1620900   225.98644   0.6085157   0.0005489   0.0259811   0.0082119
 1620920   225.98908   0.6085214   0.0005489   0.0259785   0.0082118
 1620940   225.99172   0.6085307   0.0005487   0.0259765   0.0082119
 1620960   225.99437   0.6085437   0.0005486   0.0259753   0.0082126
 1620980   225.99701   0.6085609   0.0005483   0.0259749   0.0082138
 1621000   225.99965   0.6085823   0.0005480   0.0259752   0.0082154
 1621020   226.00230   0.6086080   0.0005476   0.0259763   0.0082172
 1621040   226.00494   0.6086378   0.0005473   0.0259781   0.0082189
 1621060   226.00758   0.6086714   0.0005470   0.0259806   0.0082206
 1621080   226.01023   0.6087085   0.0005467   0.0259837   0.0082222
 1621100   226.01287   0.6087489   0.0005464   0.0259873   0.0082236
 1621120   226.01551   0.6087920   0.0005462   0.0259913   0.0082251
 1621140   226.01816   0.6088374   0.0005459   0.0259957   0.0082266
 1621160   226.02080   0.6088849   0.0005455   0.0260004   0.0082285
 1621180   226.02344   0.6089340   0.0005451   0.0260053   0.0082308
 1621200   226.02609   0.6089845   0.0005446   0.0260104   0.0082335
 1621220   226.02873   0.6090360   0.0005440   0.0260155   0.0082368
 1621240   226.03137   0.6090879   0.0005434   0.0260206   0.0082405
 1621260   226.03402   0.6091401   0.0005426   0.0260257   0.0082448
 1621280   226.03666   0.6091927   0.0005418   0.0260308   0.0082494
 1621300   226.03930   0.6092462   0.0005409   0.0260359   0.0082544
 1621320   226.04195   0.6093004   0.0005400   0.0260411   0.0082595
 1621340   226.04459   0.6093552   0.0005391   0.0260462   0.0082647
 1621360   226.04723   0.6094105   0.0005382   0.0260514   0.0082699
 1621380   226.04988   0.6094669   0.0005374   0.0260566   0.0082750
 1621400   226.05252   0.6095249   0.0005365   0.0260621   0.0082798
 1621420   226.05516   0.6095844   0.0005358   0.0260677   0.0082844
 1621440   226.05781   0.6096457   0.0005350   0.0260736   0.0082888
 1621460   226.06045   0.6097093   0.0005343   0.0260798   0.0082929
 1621480   226.06309   0.6097753   0.0005337   0.0260864   0.0082969
 1621500   226.06573   0.6098437   0.0005330   0.0260934   0.0083009
 1621520   226.06838   0.6099142   0.0005323   0.0261007   0.0083047
 1621540   226.07102   0.6099866   0.0005317   0.0261083   0.0083085
 1621560   226.07366   0.6100612   0.0005311   0.0261162   0.0083123
